Job Experience Required,Key Skills,Job Title
2-5.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
5-10.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Program Manager
1-4.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Associate Business Analyst
0-2,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL",Web Development Intern
3-6.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",Senior IT Support Engineer
2-5.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Specialist
4-10.,"Financial Analysis, Excel, Financial Modeling, Budgeting, Forecasting, SQL",Senior Financial Analyst
3-8.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Lead Software Developer
0-3,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Graphic Design Intern
2-5.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
3-7.,"IT Support, Help Desk, Troubleshooting, Networking, Windows, Linux, Hardware",IT Support Manager
5-10.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Principal Network Engineer
0-2,"Java, C++, Python, Git, Data Structures, Algorithms",Software Developer Intern
2-6.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Senior Digital Marketing Specialist
4-10.,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Principal Electrical Engineer
1-4.,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Specialist
5-10.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Lead Business Analyst
0-2,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software", IT Technician
3-6.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Senior Marketing Specialist
2-5.,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow",Data Scientist
4-10.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Principal Software Engineer
3-8.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Senior Network Engineer
0-2,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization", Data Scientist
2-5.,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Senior Graphic Designer
4-8.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Senior Project Manager
2-5.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Specialist
1-4.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Digital Marketing Specialist
3-7.,"Database Management, SQL, Oracle, MySQL, PostgreSQL, Data Warehousing",Senior Database Administrator
0-2,"JavaScript, React, HTML, CSS, Git, Web Development", Frontend Developer
5-10.,"HR Management, Talent Acquisition, Employee Relations, Performance Management, HRIS",HR Director
2-6.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Senior Business Analyst
0-3,"Customer Service, CRM, Communication, Problem Solving, Sales Support",Customer Support Specialist
4-10.,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Chief Marketing Officer (CMO)
1-4.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
3-8.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Senior Data Analyst
0-2,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML", Content Writer
2-5.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
5-10.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Program Manager
1-4.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Associate Business Analyst
0-2,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL",Web Development Intern
3-6.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",Senior IT Support Engineer
2-5.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Specialist
4-10.,"Financial Analysis, Excel, Financial Modeling, Budgeting, Forecasting, SQL",Senior Financial Analyst
3-8.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Lead Software Developer
0-3,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Graphic Design Intern
2-5.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
3-7.,"IT Support, Help Desk, Troubleshooting, Networking, Windows, Linux, Hardware",IT Support Manager
5-10.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Principal Network Engineer
0-2,"Java, C++, Python, Git, Data Structures, Algorithms",Software Developer Intern
2-6.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Senior Digital Marketing Specialist
0-2,"Java, C++, Python, Git, Data Structures, Algorithms", Software Developer
1-4.,"Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding", Graphic Designer
0-2,"Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Clerk
2-5.,"HRIS, Employee Relations, Talent Acquisition, Performance Management, Training and Development",HR Generalist
3-8.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Project Manager
0-3,"HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL", Web Developer
1-3.,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML",Content Writer
0-2,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media",Marketing Specialist
4-10.,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization",Senior Data Scientist
3-6.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
2-5.,"Financial Analysis, Excel, Financial Modeling, Budgeting, Forecasting, SQL",Financial Analyst
0-2,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
1-4.,"Recruitment, Employee Relations, Performance Management, Training and Development",HR Specialist
2-5.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Business Analyst
3-7.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Network Engineer
4-10.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Manager
0-2,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Assistant
2-5.,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Electrical Engineer
5-10.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Senior Software Engineer
3-8.,"Database Management, SQL, Oracle, MySQL, PostgreSQL, Data Warehousing",Database Administrator
0-3,"Social Media Management, Content Creation, SEO, Digital Marketing, Copywriting",Social Media Coordinator
1-4.,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Graphic Designer
3-6.,"IT Support, Help Desk, Troubleshooting, Networking, Windows, Linux, Hardware",Senior IT Support Specialist
4-10.,"Cloud Computing, AWS, Azure, DevOps, Infrastructure, Automation",Cloud Solutions Architect
2-5.,"HR Management, Recruitment, Employee Relations, Performance Management, Training and Development",HR Manager
5-10.,"Marketing Strategy, Digital Marketing, SEO, Brand Management, Google Analytics",Digital Marketing Director
0-2,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Technician
2-5.,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow",Data Scientist
3-8.,"Business Analysis, Process Improvement, Change Management, Agile, Scrum",Business Process Consultant
1-3.,"Customer Service, CRM, Communication, Problem Solving, Sales Support",Customer Service Representative
4-10.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Lead Data Scientist
2-6.,"Financial Reporting, Accounting, Excel, Budgeting, Forecasting, QuickBooks",Senior Accountant
0-3,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory", IT Support Engineer
3-7.,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Senior Electrical Engineer
2-5.,"Web Development, HTML, CSS, JavaScript, PHP, WordPress, Git, SEO",Web Developer
4-10.,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media",Marketing Director
1-4.,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Specialist
5-10.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Principal Software Engineer
3-8.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Senior Network Engineer
0-2,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization", Data Scientist
2-5.,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Senior Graphic Designer
4-8.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Senior Project Manager
2-5.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Specialist
1-4.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Digital Marketing Specialist
3-7.,"Database Management, SQL, Oracle, MySQL, PostgreSQL, Data Warehousing",Senior Database Administrator
0-2,"JavaScript, React, HTML, CSS, Git, Web Development", Frontend Developer
5-10.,"HR Management, Talent Acquisition, Employee Relations, Performance Management, HRIS",HR Director
2-6.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Senior Business Analyst
0-3,"Customer Service, CRM, Communication, Problem Solving, Sales Support",Customer Support Specialist
4-10.,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Chief Marketing Officer (CMO)
1-4.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
3-8.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Senior Data Analyst
0-2,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML", Content Writer
2-5.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
5-10.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Program Manager
1-4.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Associate Business Analyst
0-2,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL",Web Development Intern
3-6.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",Senior IT Support Engineer
2-5.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Specialist
4-10.,"Financial Analysis, Excel, Financial Modeling, Budgeting, Forecasting, SQL",Senior Financial Analyst
3-8.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Lead Software Developer
0-3,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Graphic Design Intern
2-5.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
3-7.,"IT Support, Help Desk, Troubleshooting, Networking, Windows, Linux, Hardware",IT Support Manager
5-10.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Principal Network Engineer
0-2,"Java, C++, Python, Git, Data Structures, Algorithms",Software Developer Intern
2-6.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Senior Digital Marketing Specialist
4-10.,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Principal Electrical Engineer
1-4.,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Specialist
5-10.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Lead Business Analyst
0-2,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software", IT Technician
3-6.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Senior Marketing Specialist
2-5.,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow",Data Scientist
4-10.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Principal Software Engineer
3-8.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Senior Network Engineer
0-2,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization", Data Scientist
2-5.,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Senior Graphic Designer
4-8.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Senior Project Manager
2-5.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Specialist
1-4.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Digital Marketing Specialist
3-7.,"Database Management, SQL, Oracle, MySQL, PostgreSQL, Data Warehousing",Senior Database Administrator
0-2,"JavaScript, React, HTML, CSS, Git, Web Development", Frontend Developer
5-10.,"HR Management, Talent Acquisition, Employee Relations, Performance Management, HRIS",HR Director
2-6.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Senior Business Analyst
0-3,"Customer Service, CRM, Communication, Problem Solving, Sales Support",Customer Support Specialist
4-10.,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Chief Marketing Officer (CMO)
1-4.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
3-8.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Senior Data Analyst
0-2,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML", Content Writer
2-5.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
5-10.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Program Manager
1-4.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Associate Business Analyst
0-2,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL",Web Development Intern
3-6.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",Senior IT Support Engineer
2-5.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Specialist
4-10.,"Financial Analysis, Excel, Financial Modeling, Budgeting, Forecasting, SQL",Senior Financial Analyst
3-8.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Lead Software Developer
0-3,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Graphic Design Intern
2-5.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
3-7.,"IT Support, Help Desk, Troubleshooting, Networking, Windows, Linux, Hardware",IT Support Manager
5-10.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Principal Network Engineer
0-2,"Java, C++, Python, Git, Data Structures, Algorithms",Software Developer Intern
2-6.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Senior Digital Marketing Specialist
0-2,"Java, C++, Python, Git, Data Structures, Algorithms", Software Developer
1-4.,"Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding", Graphic Designer
0-2,"Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Clerk
2-5.,"HRIS, Employee Relations, Talent Acquisition, Performance Management, Training and Development",HR Generalist
3-8.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Project Manager
0-3,"HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL", Web Developer
1-3.,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML",Content Writer
0-2,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media",Marketing Specialist
4-10.,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization",Senior Data Scientist
3-6.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
2-5.,"Financial Analysis, Excel, Financial Modeling, Budgeting, Forecasting, SQL",Financial Analyst
0-2,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
1-4.,"Recruitment, Employee Relations, Performance Management, Training and Development",HR Specialist
2-5.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Business Analyst
3-7.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Network Engineer
4-10.,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Manager
0-2,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Assistant
2-5.,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Electrical Engineer
5-10.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Senior Software Engineer
3-8.,"Database Management, SQL, Oracle, MySQL, PostgreSQL, Data Warehousing",Database Administrator
0-3,"Social Media Management, Content Creation, SEO, Digital Marketing, Copywriting",Social Media Coordinator
1-4.,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Graphic Designer
3-6.,"IT Support, Help Desk, Troubleshooting, Networking, Windows, Linux, Hardware",Senior IT Support Specialist
4-10.,"Cloud Computing, AWS, Azure, DevOps, Infrastructure, Automation",Cloud Solutions Architect
2-5.,"HR Management, Recruitment, Employee Relations, Performance Management, Training and Development",HR Manager
5-10.,"Marketing Strategy, Digital Marketing, SEO, Brand Management, Google Analytics",Digital Marketing Director
0-2,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Technician
2-5.,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow",Data Scientist
3-8.,"Business Analysis, Process Improvement, Change Management, Agile, Scrum",Business Process Consultant
1-3.,"Customer Service, CRM, Communication, Problem Solving, Sales Support",Customer Service Representative
4-10.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Lead Data Scientist
2-6.,"Financial Reporting, Accounting, Excel, Budgeting, Forecasting, QuickBooks",Senior Accountant
0-3,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory", IT Support Engineer
3-7.,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Senior Electrical Engineer
2-5.,"Web Development, HTML, CSS, JavaScript, PHP, WordPress, Git, SEO",Web Developer
4-10.,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media",Marketing Director
1-4.,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Specialist
5-10.,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Principal Software Engineer
3-8.,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Senior Network Engineer
0-2,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization", Data Scientist
2-5.,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography",Senior Graphic Designer
4-8.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Senior Project Manager
2-5.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Specialist
1-4.,"Digital Marketing, SEO, Google Analytics, AdWords, Social Media, Content Marketing",Digital Marketing Specialist
3-7.,"Database Management, SQL, Oracle, MySQL, PostgreSQL, Data Warehousing",Senior Database Administrator
0-2,"JavaScript, React, HTML, CSS, Git, Web Development", Frontend Developer
5-10.,"HR Management, Talent Acquisition, Employee Relations, Performance Management, HRIS",HR Director
2-6.,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Senior Business Analyst
0-3,"Customer Service, CRM, Communication, Problem Solving, Sales Support",Customer Support Specialist
4-10.,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Chief Marketing Officer (CMO)
1-4.,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
3-8.,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Senior Data Analyst
0-2,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML", Content Writer
2-5.,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
5-10.,"Project Management, Agile, Scrum, Stakeholder Management, Risk Management",Program Manager
